"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.780863792E0,-2.079924774E0,-1.310569656E1,-3.261268158E0,1.366459804E1
2.790836792E0,-2.404000854E-1,-1.028660889E1,-1.015488281E0,1.033940671E1
2.800809792E0,6.629713440E-1,-9.122180328E0,-6.566844177E-1,9.169784042E0
2.810781792E0,1.324445801E0,-8.224497070E0,-2.272574158E0,8.634877072E0
2.820754792E0,1.566791840E0,-7.915090485E0,-3.139571228E0,8.657967518E0
2.830726792E0,1.613494720E0,-7.848778381E0,-2.229763184E0,8.317363233E0
2.840699792E0,1.786235504E0,-7.820038147E0,-1.063388672E0,8.091627115E0
2.850671792E0,1.648072815E0,-7.966284027E0,-6.336323547E-1,8.159614891E0
2.860644792E0,9.107061768E-1,-8.547675018E0,-1.472487946E0,8.721258780E0
2.870616792E0,2.649490356E-1,-8.638536072E0,-2.193388824E0,8.916583314E0
2.880589792E0,-5.900729370E-1,-8.528365173E0,-1.120869141E0,8.621922421E0
2.890561792E0,-3.293151855E-2,-8.351882172E0,-8.023315430E-1,8.390396665E0
2.900534792E0,1.224453735E-1,-7.957751770E0,-1.158291321E0,8.042539704E0
2.910507792E0,2.806663513E-1,-7.918084259E0,-1.307231598E0,8.030173497E0
2.920479792E0,9.436376953E-1,-7.710915070E0,-1.692380676E0,7.950648757E0
2.930452792E0,1.609602814E0,-7.369026031E0,-1.680255890E0,7.727653313E0
2.940424792E0,2.329605560E0,-7.014712830E0,-1.495540009E0,7.541213302E0
2.950397792E0,2.856509857E0,-6.868616638E0,-1.622326355E0,7.613769493E0
2.960369792E0,3.019969940E0,-7.140151978E0,-1.907333679E0,7.983727855E0
2.970342792E0,2.555934906E0,-7.816894684E0,-1.984872437E0,8.460281575E0
2.980314792E0,1.639690247E0,-8.586294708E0,-1.611848145E0,8.888818558E0
2.990287792E0,6.608757019E-1,-9.502988434E0,-6.596781921E-1,9.548754955E0
3.000260792E0,-2.631527710E-1,-1.039902512E1,4.137396240E-1,1.041057891E1
3.010232792E0,-8.795709229E-1,-1.075902649E1,4.659809875E-1,1.080497266E1
3.020205792E0,-9.186396790E-1,-1.029319519E1,-1.107546844E0,1.039328755E1
3.030177792E0,-5.026547241E-1,-9.331744537E0,-3.551963654E0,9.997527878E0
3.040150792E0,-4.011657715E-2,-8.650062103E0,-4.664001160E0,9.827415253E0
3.050122792E0,3.390449524E-1,-8.679251404E0,-3.593277740E0,9.399787302E0
3.060095792E0,2.183958435E-1,-9.396110687E0,-1.784139862E0,9.566490884E0
3.070068792E0,-2.444416809E-1,-1.019440063E1,-2.206411743E-1,1.019971757E1
3.080040792E0,-9.858499146E-1,-1.074914703E1,5.610333252E-1,1.080883067E1
3.090013792E0,-1.556163940E0,-1.100975510E1,3.577560425E-2,1.111924608E1
3.099985792E0,-1.491648102E0,-1.107232498E1,-1.436113586E0,1.126427169E1
3.109958792E0,-9.568103027E-1,-1.139355698E1,-3.194207611E0,1.187146111E1
3.119930792E0,-8.283773804E-1,-1.259720398E1,-3.551963654E0,1.311457979E1
3.129903792E0,-1.304237823E0,-1.385414017E1,-2.133363647E0,1.407797842E1
3.139875792E0,-1.551523590E0,-1.427656174E1,-8.337661743E-2,1.436086321E1
3.149848792E0,-1.279838562E0,-1.380564102E1,1.553768921E-1,1.386570780E1
3.159820792E0,-3.742218018E-1,-1.269465134E1,-2.190095673E0,1.288761939E1
